Gene	Synonym	ENSG	Description	expression
TMEM235		ENSG00000204278	Transmembrane protein 235	ElevBrain
GABRD		ENSG00000187730	Gamma-aminobutyric acid type A receptor delta subunit	ElevBrain
GAP43	"B-50, PP46"	ENSG00000172020	Growth associated protein 43	ElevBrain
NKX6-2	"GTX, NKX6.1, NKX6B"	ENSG00000148826	NK6 homeobox 2	ElevBrain
TTC9B	FLJ30373	ENSG00000174521	Tetratricopeptide repeat domain 9B	ElevBrain
CCKBR		ENSG00000110148	Cholecystokinin B receptor	ElevBrain
GRM3	"GPRC1C, mGlu3, MGLUR3"	ENSG00000198822	Glutamate metabotropic receptor 3	ElevBrain
HTR1A	"5-HT1A, ADRB2RL1, ADRBRL1"	ENSG00000178394	5-hydroxytryptamine receptor 1A	ElevBrain
KIAA1549L	"C11orf41, C11orf69, G2, MGC34830"	ENSG00000110427	KIAA1549 like	ElevBrain
SNCB		ENSG00000074317	Synuclein beta	ElevBrain
ANO3	"C11orf25, DYT23, GENX-3947, TMEM16C"	ENSG00000134343	Anoctamin 3	ElevBrain
GABRA6		ENSG00000145863	Gamma-aminobutyric acid type A receptor alpha6 subunit	ElevBrain
POU3F2	"BRN2, OCT7, OTF7, POUF3"	ENSG00000184486	POU class 3 homeobox 2	ElevBrain
GABRA1	EJM5	ENSG00000022355	Gamma-aminobutyric acid type A receptor alpha1 subunit	ElevBrain
HRH3	GPCR97	ENSG00000101180	Histamine receptor H3	ElevBrain
KCNJ4	"HIR, hIRK2, HRK1, IRK3, Kir2.3"	ENSG00000168135	Potassium voltage-gated channel subfamily J member 4	ElevBrain
SNAP25	"bA416N4.2, dJ1068F16.2, RIC-4, RIC4, SEC9, SNAP, SNAP-25"	ENSG00000132639	Synaptosome associated protein 25	ElevBrain
CAMK2A	"CAMKA, CaMKIINalpha, KIAA0968"	ENSG00000070808	Calcium/calmodulin dependent protein kinase II alpha	ElevBrain
CREG2		ENSG00000175874	Cellular repressor of E1A stimulated genes 2	ElevBrain
GABRA5		ENSG00000186297	Gamma-aminobutyric acid type A receptor alpha5 subunit	ElevBrain
MAGEA12	"CT1.12, MAGE12"	ENSG00000213401	MAGE family member A12	ElevBrain
POU3F3	"BRN1, OTF8"	ENSG00000198914	POU class 3 homeobox 3	ElevBrain
SLC22A31		ENSG00000259803	Solute carrier family 22 member 31	ElevBrain
HTR2C	"5-HT2C, 5HTR2C, HTR1C"	ENSG00000147246	5-hydroxytryptamine receptor 2C	ElevBrain
SULT4A1	"hBR-STL-1, SULTX3"	ENSG00000130540	Sulfotransferase family 4A member 1	ElevBrain
SYN2	"SYNII, SYNIIa, SYNIIb"	ENSG00000157152	Synapsin II	ElevBrain
ATP6V1G2	"ATP6G, ATP6G2, Em:AC004181.3, NG38, Vma10"	ENSG00000213760	ATPase H+ transporting V1 subunit G2	ElevBrain
GPR6		ENSG00000146360	G protein-coupled receptor 6	ElevBrain
GRIN2B	"GluN2B, NMDAR2B"	ENSG00000273079	Glutamate ionotropic receptor NMDA type subunit 2B	ElevBrain
LRTM2		ENSG00000166159	Leucine rich repeats and transmembrane domains 2	ElevBrain
TNR		ENSG00000116147	Tenascin R	ElevBrain
CACNG3		ENSG00000006116	Calcium voltage-gated channel auxiliary subunit gamma 3	ElevBrain
FBXL16	"C16orf22, Fbl16, MGC33974"	ENSG00000127585	F-box and leucine rich repeat protein 16	ElevBrain
GPR37L1	ETBR-LP-2	ENSG00000170075	G protein-coupled receptor 37 like 1	ElevBrain
KIF5A	"D12S1889, MY050, NKHC, SPG10"	ENSG00000155980	Kinesin family member 5A	ElevBrain
NXPH1		ENSG00000122584	Neurexophilin 1	ElevBrain
RTP5	"C2orf85, CXXC11, FLJ33590, Z3CXXC5"	ENSG00000188011	Receptor transporter protein 5 (putative)	ElevBrain
ANKRD63		ENSG00000230778	Ankyrin repeat domain 63	ElevBrain
KCNF1	"IK8, KCNF, kH1, Kv5.1"	ENSG00000162975	Potassium voltage-gated channel modifier subfamily F member 1	ElevBrain
OTX2		ENSG00000165588	Orthodenticle homeobox 2	ElevBrain
PDYN	"ADCA, PENKB, SCA23"	ENSG00000101327	Prodynorphin	ElevBrain
STMN4	RB3	ENSG00000015592	Stathmin 4	ElevBrain
SYN1		ENSG00000008056	Synapsin I	ElevBrain
ZDHHC22	C14orf59	ENSG00000177108	Zinc finger DHHC-type containing 22	ElevBrain
ZIC1	"ZIC, ZNF201"	ENSG00000152977	Zic family member 1	ElevBrain
GPR101		ENSG00000165370	G protein-coupled receptor 101	ElevBrain
PTPN5	"PTPSTEP, STEP, STEP61"	ENSG00000110786	"Protein tyrosine phosphatase, non-receptor type 5"	ElevBrain
SLC17A7	"BNPI, VGLUT1"	ENSG00000104888	Solute carrier family 17 member 7	ElevBrain
SOHLH1	"bA100C15.3, bHLHe80, C9orf157, NOHLH, SPATA27, TEB2"	ENSG00000165643	Spermatogenesis and oogenesis specific basic helix-loop-helix 1	ElevBrain
WFIKKN2	"WFDC20B, WFIKKNRP"	ENSG00000173714	"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2"	ElevBrain
ZIC2	HPE5	ENSG00000043355	Zic family member 2	ElevBrain
BCAN	"BEHAB, CSPG7, MGC13038"	ENSG00000132692	Brevican	ElevBrain
CALB1	CALB	ENSG00000104327	Calbindin 1	ElevBrain
CNTNAP4	"CASPR4, KIAA1763"	ENSG00000152910	Contactin associated protein like 4	ElevBrain
MCHR2	"GPR145, MCH2, MCH2R, SLT"	ENSG00000152034	Melanin concentrating hormone receptor 2	ElevBrain
NRGN	RC3	ENSG00000154146	Neurogranin	ElevBrain
NXPH2	NPH2	ENSG00000144227	Neurexophilin 2	ElevBrain
PCDHGC5	PCDH-GAMMA-C5	ENSG00000240764	"Protocadherin gamma subfamily C, 5"	ElevBrain
PNMA5	KIAA1934	ENSG00000198883	PNMA family member 5	ElevBrain
POU3F4	"BRN4, DFN3, DFNX2, OTF9"	ENSG00000196767	POU class 3 homeobox 4	ElevBrain
SPHKAP	SKIP	ENSG00000153820	"SPHK1 interactor, AKAP domain containing"	ElevBrain
STX1B	"STX1B1, STX1B2"	ENSG00000099365	Syntaxin 1B	ElevBrain
TMEM88B		ENSG00000205116	Transmembrane protein 88B	ElevBrain
AC079341.3		ENSG00000284849		ElevBrain
C11orf87	"LOC399947, LOH11CR1A, NEURIM1"	ENSG00000185742	Chromosome 11 open reading frame 87	ElevBrain
CARNS1	"ATPGD1, KIAA1394"	ENSG00000172508	Carnosine synthase 1	ElevBrain
GLRA2	GLR	ENSG00000101958	Glycine receptor alpha 2	ElevBrain
PSD2	"DKFZp761B0514, EFA6C"	ENSG00000146005	Pleckstrin and Sec7 domain containing 2	ElevBrain
SLC17A6	"DNPI, VGLUT2"	ENSG00000091664	Solute carrier family 17 member 6	ElevBrain
SLC6A3	"DAT, DAT1"	ENSG00000142319	Solute carrier family 6 member 3	ElevBrain
TPH2	"FLJ37295, NTPH"	ENSG00000139287	Tryptophan hydroxylase 2	ElevBrain
ZIC4		ENSG00000174963	Zic family member 4	ElevBrain
CBLN3		ENSG00000139899	Cerebellin 3 precursor	ElevBrain
CLEC19A		ENSG00000261210	C-type lectin domain containing 19A	ElevBrain
CPLX1	CPX-I	ENSG00000168993	Complexin 1	ElevBrain
ELAVL3	"DKFZp547J036, HUC, HUCL, MGC20653, PLE21"	ENSG00000196361	ELAV like RNA binding protein 3	ElevBrain
FXYD7		ENSG00000221946	FXYD domain containing ion transport regulator 7	ElevBrain
LILRA4	"CD85g, ILT7"	ENSG00000239961	Leukocyte immunoglobulin like receptor A4	ElevBrain
POU4F2	"Brn-3b, BRN3B"	ENSG00000151615	POU class 4 homeobox 2	ElevBrain
RIMS1	"CORD7, KIAA0340, RAB3IP2, RIM, RIM1"	ENSG00000079841	Regulating synaptic membrane exocytosis 1	ElevBrain
SHANK1	"SPANK-1, SSTRIP, synamon"	ENSG00000161681	SH3 and multiple ankyrin repeat domains 1	ElevBrain
SLC39A12	FLJ30499	ENSG00000148482	Solute carrier family 39 member 12	ElevBrain
UNCX	Uncx4.1	ENSG00000164853	UNC homeobox	ElevBrain
VSTM2B		ENSG00000187135	V-set and transmembrane domain containing 2B	ElevBrain
ZIC3	"HTX, HTX1, ZNF203"	ENSG00000156925	Zic family member 3	ElevBrain
APC2	APCL	ENSG00000115266	"APC2, WNT signaling pathway regulator"	ElevBrain
ART3		ENSG00000156219	ADP-ribosyltransferase 3	ElevBrain
BTBD17	"BTBD17A, LGALS3BPL, TANGO10A"	ENSG00000204347	BTB domain containing 17	ElevBrain
C1QL3	"C1ql, C1QTNF13, CTRP13, K100"	ENSG00000165985	Complement C1q like 3	ElevBrain
C4orf50	FLJ46481	ENSG00000181215	Chromosome 4 open reading frame 50	ElevBrain
CAMK2N2	CaM-KIIN	ENSG00000163888	Calcium/calmodulin dependent protein kinase II inhibitor 2	ElevBrain
CASKIN1	"ANKS5A, KIAA1306"	ENSG00000167971	CASK interacting protein 1	ElevBrain
CFC1	"CRYPTIC, HTX2"	ENSG00000136698	"Cripto, FRL-1, cryptic family 1"	ElevBrain
DDN	KIAA0749	ENSG00000181418	Dendrin	ElevBrain
DPF1	"BAF45b, NEUD4, neuro-d4"	ENSG00000011332	Double PHD fingers 1	ElevBrain
DRD1		ENSG00000184845	Dopamine receptor D1	ElevBrain
ECE2	"KIAA0604, MGC2408"	ENSG00000145194	Endothelin converting enzyme 2	ElevBrain
FAM19A3	"TAFA-3, TAFA3"	ENSG00000184599	"Family with sequence similarity 19 member A3, C-C motif chemokine like"	ElevBrain
GABBR2	"GABABR2, GPR51, GPRC3B, HG20"	ENSG00000136928	Gamma-aminobutyric acid type B receptor subunit 2	ElevBrain
GPR52		ENSG00000203737	G protein-coupled receptor 52	ElevBrain
HHATL	"C3orf3, GUP1, KIAA1173, MBOAT3, MSTP002, OACT3"	ENSG00000010282	Hedgehog acyltransferase like	ElevBrain
KCNC1	Kv3.1	ENSG00000129159	Potassium voltage-gated channel subfamily C member 1	ElevBrain
KCNN1	"hSK1, KCa2.1"	ENSG00000105642	Potassium calcium-activated channel subfamily N member 1	ElevBrain
MGAT5B	"FLJ25132, GnT-IX, GnT-VB"	ENSG00000167889	"Mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B"	ElevBrain
MMD2	PAQR10	ENSG00000136297	Monocyte to macrophage differentiation associated 2	ElevBrain
MT3	GIF	ENSG00000087250	Metallothionein 3	ElevBrain
NCDN	"NCDN-1, NCDN-2"	ENSG00000020129	Neurochondrin	ElevBrain
NETO1	"BCTL1, BTCL1"	ENSG00000166342	Neuropilin and tolloid like 1	ElevBrain
NTSR2	NTR2	ENSG00000169006	Neurotensin receptor 2	ElevBrain
OTOF	"DFNB6, DFNB9, FER1L2"	ENSG00000115155	Otoferlin	ElevBrain
PAQR6	"FLJ22672, PRdelta"	ENSG00000160781	Progestin and adipoQ receptor family member 6	ElevBrain
RESP18		ENSG00000182698	Regulated endocrine specific protein 18	ElevBrain
SEZ6		ENSG00000063015	Seizure related 6 homolog	ElevBrain
SLC15A5		ENSG00000188991	Solute carrier family 15 member 5	ElevBrain
TMEM151A	"MGC33486, TMEM151"	ENSG00000179292	Transmembrane protein 151A	ElevBrain
AL590132.1		ENSG00000284299		ElevBrain
BAALC		ENSG00000164929	"BAALC, MAP3K1 and KLF4 binding"	ElevBrain
BHLHA9	"bHLHa9, BHLHF42"	ENSG00000205899	Basic helix-loop-helix family member a9	ElevBrain
CACNG2	"MGC138502, MGC138504, stargazin"	ENSG00000166862	Calcium voltage-gated channel auxiliary subunit gamma 2	ElevBrain
CPNE9	KIAA4217	ENSG00000144550	Copine family member 9	ElevBrain
DNM1	DNM	ENSG00000106976	Dynamin 1	ElevBrain
ERMN	"ERMIN, JN, KIAA1189"	ENSG00000136541	Ermin	ElevBrain
GPM6A	GPM6	ENSG00000150625	Glycoprotein M6A	ElevBrain
GPR149	"IEDA, PGR10, R35"	ENSG00000174948	G protein-coupled receptor 149	ElevBrain
GPR62		ENSG00000180929	G protein-coupled receptor 62	ElevBrain
GRID2	"GluD2, GluR-delta-2"	ENSG00000152208	Glutamate ionotropic receptor delta type subunit 2	ElevBrain
HEPACAM	"FLJ25530, GLIALCAM, hepaCAM"	ENSG00000165478	Hepatic and glial cell adhesion molecule	ElevBrain
LCAT		ENSG00000213398	Lecithin-cholesterol acyltransferase	ElevBrain
MDGA1	"GPIM, MAMDC3"	ENSG00000112139	MAM domain containing glycosylphosphatidylinositol anchor 1	ElevBrain
MDGA2	MAMDC1	ENSG00000139915	MAM domain containing glycosylphosphatidylinositol anchor 2	ElevBrain
PMCH	MCH	ENSG00000183395	Pro-melanin concentrating hormone	ElevBrain
PRKCG	"MGC57564, PKCC, PKCG, SCA14"	ENSG00000126583	Protein kinase C gamma	ElevBrain
RIT2	"RIBA, RIN"	ENSG00000152214	Ras like without CAAX 2	ElevBrain
SHD		ENSG00000105251	Src homology 2 domain containing transforming protein D	ElevBrain
SLC1A3	"EA6, EAAT1, GLAST"	ENSG00000079215	Solute carrier family 1 member 3	ElevBrain
SYT1	"P65, SVP65, SYT"	ENSG00000067715	Synaptotagmin 1	ElevBrain
TMEM132D	"KIAA1944, MOLT, PPP1R153"	ENSG00000151952	Transmembrane protein 132D	ElevBrain
TMEM59L	"BSMAP, C19orf4"	ENSG00000105696	Transmembrane protein 59 like	ElevBrain
TRPC5	PPP1R159	ENSG00000072315	Transient receptor potential cation channel subfamily C member 5	ElevBrain
TTR	"CTS, CTS1, HsT2651, PALB"	ENSG00000118271	Transthyretin	ElevBrain
ZP2	ZPA	ENSG00000103310	Zona pellucida glycoprotein 2	ElevBrain
ADGRB2	BAI2	ENSG00000121753	Adhesion G protein-coupled receptor B2	ElevBrain
AKAIN1	C18orf42	ENSG00000231824	A-kinase anchor inhibitor 1	ElevBrain
AL592490.1		ENSG00000197991		ElevBrain
B3GAT1	"CD57, GlcAT-P, HNK-1, LEU7, NK-1"	ENSG00000109956	"Beta-1,3-glucuronyltransferase 1"	ElevBrain
BRINP2	"DBCCR1L2, FAM5B"	ENSG00000198797	BMP/retinoic acid inducible neural specific 2	ElevBrain
BRSK2	"C11orf7, PEN11B, STK29"	ENSG00000174672	BR serine/threonine kinase 2	ElevBrain
C8orf46	MGC33510	ENSG00000169085	Chromosome 8 open reading frame 46	ElevBrain
CABP1		ENSG00000157782	Calcium binding protein 1	ElevBrain
CACNA1A	"APCA, CACNL1A4, Cav2.1, EA2, FHM, HPCA, MHP, MHP1, SCA6"	ENSG00000141837	Calcium voltage-gated channel subunit alpha1 A	ElevBrain
CACNG8		ENSG00000142408	Calcium voltage-gated channel auxiliary subunit gamma 8	ElevBrain
CARTPT	CART	ENSG00000164326	CART prepropeptide	ElevBrain
CEND1	"BM88, FLJ90066"	ENSG00000184524	Cell cycle exit and neuronal differentiation 1	ElevBrain
CSPG5	NGC	ENSG00000114646	Chondroitin sulfate proteoglycan 5	ElevBrain
DGKK		ENSG00000274588	Diacylglycerol kinase kappa	ElevBrain
DMRTA2		ENSG00000142700	DMRT like family A2	ElevBrain
FRMPD4	"KIAA0316, PDZD10, PDZK10"	ENSG00000169933	FERM and PDZ domain containing 4	ElevBrain
GBX1		ENSG00000164900	Gastrulation brain homeobox 1	ElevBrain
GLRA1	STHE	ENSG00000145888	Glycine receptor alpha 1	ElevBrain
GNG3		ENSG00000162188	G protein subunit gamma 3	ElevBrain
GPR26		ENSG00000154478	G protein-coupled receptor 26	ElevBrain
IL1RAPL1	"IL1R8, IL1RAPL, MRX10, MRX21, MRX34, OPHN4, TIGIRR-2"	ENSG00000169306	Interleukin 1 receptor accessory protein like 1	ElevBrain
JPH3	"CAGL237, HDL2, JP-3, JP3, TNRC22"	ENSG00000154118	Junctophilin 3	ElevBrain
KIF3C		ENSG00000084731	Kinesin family member 3C	ElevBrain
LMAN1L	"ERGIC-53L, ERGL"	ENSG00000140506	"Lectin, mannose binding 1 like"	ElevBrain
MPPED1	"239AB, C22orf1, FAM1A"	ENSG00000186732	Metallophosphoesterase domain containing 1	ElevBrain
NEFH		ENSG00000100285	Neurofilament heavy	ElevBrain
OTP		ENSG00000171540	Orthopedia homeobox	ElevBrain
OXT	"OT, OT-NPI, OXT-NPI"	ENSG00000101405	Oxytocin/neurophysin I prepropeptide	ElevBrain
PCDHAC2	PCDH-ALPHA-C2	ENSG00000243232	"Protocadherin alpha subfamily C, 2"	ElevBrain
PPFIA4		ENSG00000143847	PTPRF interacting protein alpha 4	ElevBrain
SLC25A41	"APC4, FLJ40442, MGC34725"	ENSG00000181240	Solute carrier family 25 member 41	ElevBrain
SLITRK1	"KIAA1910, LRRC12"	ENSG00000178235	SLIT and NTRK like family member 1	ElevBrain
SRRM4	"KIAA1853, nSR100"	ENSG00000139767	Serine/arginine repetitive matrix 4	ElevBrain
SYT11	"DKFZp781D015, KIAA0080, MGC10881, MGC17226"	ENSG00000132718	Synaptotagmin 11	ElevBrain
VAX1		ENSG00000148704	Ventral anterior homeobox 1	ElevBrain
VWC2L		ENSG00000174453	Von Willebrand factor C domain containing protein 2 like	ElevBrain
XKR7	"C20orf159, dJ310O13.4"	ENSG00000260903	XK related 7	ElevBrain
ABCA2	ABC2	ENSG00000107331	ATP binding cassette subfamily A member 2	ElevBrain
ADD2	ADDB	ENSG00000075340	Adducin 2	ElevBrain
AMBN		ENSG00000178522	Ameloblastin	ElevBrain
AMER3	"FAM123C, FLJ38377"	ENSG00000178171	APC membrane recruitment protein 3	ElevBrain
B3GAT2	GlcAT-S	ENSG00000112309	"Beta-1,3-glucuronyltransferase 2"	ElevBrain
CALY	"CALCYON, DRD1IP, NSG3"	ENSG00000130643	Calcyon neuron specific vesicular protein	ElevBrain
CDH18	"CDH14, EY-CADHERIN"	ENSG00000145526	Cadherin 18	ElevBrain
CFC1B		ENSG00000152093	"Cripto, FRL-1, cryptic family 1B"	ElevBrain
CHRNA2		ENSG00000120903	Cholinergic receptor nicotinic alpha 2 subunit	ElevBrain
CLDN19		ENSG00000164007	Claudin 19	ElevBrain
CNDP1	"CN1, CPGL2, HsT2308, MGC10825"	ENSG00000150656	Carnosine dipeptidase 1	ElevBrain
CNTN2	"AXT, TAG-1, TAX, TAX1"	ENSG00000184144	Contactin 2	ElevBrain
CORT	MGC32686	ENSG00000241563	Cortistatin	ElevBrain
DAW1	"FLJ25955, ODA16, WDR69"	ENSG00000123977	Dynein assembly factor with WD repeats 1	ElevBrain
DBH	DBM	ENSG00000123454	Dopamine beta-hydroxylase	ElevBrain
DISP2	"C15orf36, DISPB, HsT16908, KIAA1742, LINC00594"	ENSG00000140323	Dispatched RND transporter family member 2	ElevBrain
ENC1	"ENC-1, KLHL37, NRPB, PIG10, TP53I10"	ENSG00000171617	Ectodermal-neural cortex 1	ElevBrain
FAM181B	"LOC220382, MGC33846"	ENSG00000182103	Family with sequence similarity 181 member B	ElevBrain
FSTL5	"DKFZp566D234, KIAA1263"	ENSG00000168843	Follistatin like 5	ElevBrain
GABRG1		ENSG00000163285	Gamma-aminobutyric acid type A receptor gamma1 subunit	ElevBrain
GNG13	"G(gamma)13, h2-35"	ENSG00000127588	G protein subunit gamma 13	ElevBrain
GRM5	"GPRC1E, mGlu5, MGLUR5, PPP1R86"	ENSG00000168959	Glutamate metabotropic receptor 5	ElevBrain
HTR6	"5-HT6, 5-HT6R"	ENSG00000158748	5-hydroxytryptamine receptor 6	ElevBrain
ICAM5	"TLCN, TLN"	ENSG00000105376	Intercellular adhesion molecule 5	ElevBrain
IL17D	"FLJ30846, IL-17D, IL-22, IL-27, IL27"	ENSG00000172458	Interleukin 17D	ElevBrain
KCNQ3	"EBN2, Kv7.3"	ENSG00000184156	Potassium voltage-gated channel subfamily Q member 3	ElevBrain
KCNV1	Kv8.1	ENSG00000164794	Potassium voltage-gated channel modifier subfamily V member 1	ElevBrain
MRGPRE	"GPR167, mrgE"	ENSG00000184350	MAS related GPR family member E	ElevBrain
MYT1	"MTF1, MYTI, NZF2, PLPB1, ZC2H2C1, ZC2HC4A"	ENSG00000196132	Myelin transcription factor 1	ElevBrain
NKAIN2	"FAM77B, TCBA1"	ENSG00000188580	Sodium/potassium transporting ATPase interacting 2	ElevBrain
NRXN1	"Hs.22998, KIAA0578"	ENSG00000179915	Neurexin 1	ElevBrain
NRXN2		ENSG00000110076	Neurexin 2	ElevBrain
OLFM3	NOE3	ENSG00000118733	Olfactomedin 3	ElevBrain
PCDH8	"ARCADLIN, PAPC"	ENSG00000136099	Protocadherin 8	ElevBrain
PNMA2	"MA2, RGAG2"	ENSG00000240694	PNMA family member 2	ElevBrain
RASL10A	RRP22	ENSG00000100276	RAS like family 10 member A	ElevBrain
SCRT1	"DKFZp547F072, ZNF898"	ENSG00000261678	Scratch family transcriptional repressor 1	ElevBrain
SEPT3	SEP3	ENSG00000100167	Septin 3	ElevBrain
SHISA7		ENSG00000187902	Shisa family member 7	ElevBrain
SIX3	HPE2	ENSG00000138083	SIX homeobox 3	ElevBrain
SLC13A4	"SUT-1, SUT1"	ENSG00000164707	Solute carrier family 13 member 4	ElevBrain
SLC32A1	"bA122O1.1, VGAT, VIAAT"	ENSG00000101438	Solute carrier family 32 member 1	ElevBrain
SLC4A10	"NBCn2, NCBE"	ENSG00000144290	Solute carrier family 4 member 10	ElevBrain
SLC5A7	"CHT1, hCHT"	ENSG00000115665	Solute carrier family 5 member 7	ElevBrain
SMIM32		ENSG00000271824	Small integral membrane protein 32	ElevBrain
SV2C		ENSG00000122012	Synaptic vesicle glycoprotein 2C	ElevBrain
SYT3		ENSG00000213023	Synaptotagmin 3	ElevBrain
TMEM151B	"bA444E17.5, C6orf137, TMEM193"	ENSG00000178233	Transmembrane protein 151B	ElevBrain
TPPP	"p25, p25alpha, TPPP/p25, TPPP1"	ENSG00000171368	Tubulin polymerization promoting protein	ElevBrain
TRIM9	"RNF91, SPRING"	ENSG00000100505	Tripartite motif containing 9	ElevBrain
UCMA	C10orf49	ENSG00000165623	Upper zone of growth plate and cartilage matrix associated	ElevBrain
VSNL1	"HLP3, HPCAL3, HUVISL1, VILIP, VILIP-1"	ENSG00000163032	Visinin like 1	ElevBrain
ADAMTS18	ADAMTS21	ENSG00000140873	ADAM metallopeptidase with thrombospondin type 1 motif 18	ElevBrain
ADAMTS20	GON-1	ENSG00000173157	ADAM metallopeptidase with thrombospondin type 1 motif 20	ElevBrain
ASIC1	"ACCN2, BNaC2, hBNaC2"	ENSG00000110881	Acid sensing ion channel subunit 1	ElevBrain
BACE1	BACE	ENSG00000186318	Beta-secretase 1	ElevBrain
CDH15	"CDH14, CDH3"	ENSG00000129910	Cadherin 15	ElevBrain
CHRM1		ENSG00000168539	Cholinergic receptor muscarinic 1	ElevBrain
CHRNB2		ENSG00000160716	Cholinergic receptor nicotinic beta 2 subunit	ElevBrain
CLEC9A	"CD370, DNGR-1, HEEE9341, UNQ9341"	ENSG00000197992	C-type lectin domain containing 9A	ElevBrain
CNIH2	"CNIH-2, Cnil, MGC50896"	ENSG00000174871	Cornichon family AMPA receptor auxiliary protein 2	ElevBrain
DIRAS2	"Di-Ras2, DKFZp761C07121"	ENSG00000165023	DIRAS family GTPase 2	ElevBrain
DKK3	"REIC, RIG"	ENSG00000050165	Dickkopf WNT signaling pathway inhibitor 3	ElevBrain
DNAJC6	"KIAA0473, PARK19"	ENSG00000116675	DnaJ heat shock protein family (Hsp40) member C6	ElevBrain
DRD2		ENSG00000149295	Dopamine receptor D2	ElevBrain
DRGX	"DRG11, PRRXL1"	ENSG00000165606	Dorsal root ganglia homeobox	ElevBrain
FBP2		ENSG00000130957	Fructose-bisphosphatase 2	ElevBrain
FREM3		ENSG00000183090	FRAS1 related extracellular matrix 3	ElevBrain
GABRB2		ENSG00000145864	Gamma-aminobutyric acid type A receptor beta2 subunit	ElevBrain
GBX2		ENSG00000168505	Gastrulation brain homeobox 2	ElevBrain
GFY	Goofy	ENSG00000261949	Golgi associated olfactory signaling regulator	ElevBrain
GSX1	"Gsh-1, GSH1"	ENSG00000169840	GS homeobox 1	ElevBrain
HDC		ENSG00000140287	Histidine decarboxylase	ElevBrain
HPCAL4	"DKFZp761G122, HLP4"	ENSG00000116983	Hippocalcin like 4	ElevBrain
